"protein_A","protein_B"
"Actr10","Dctn1"
"Actr10","Dctn2"
"Actr10","Map2"
"Actr10","Sptbn2"
"Actr1a","Actr1b"
"Actr1a","Akap12"
"Actr1a","Ccar2"
"Actr1a","Dctn1"
"Actr1a","Dctn2"
"Actr1a","Dctn3"
"Actr1a","Dctn4"
"Actr1a","Dctn5"
"Actr1a","Dctn6"
"Actr1a","Eif3a"
"Actr1a","Eif3b"
"Actr1a","Eif3c"
"Actr1a","Eif3d"
"Actr1a","Eif3e"
"Actr1a","Eif3g"
"Actr1a","Eif3h"
"Actr1a","Eif3i"
"Actr1a","Eif3k"
"Actr1a","Eif3l"
"Actr1a","Sptbn2"
"Actr1a","Strn3"
"Actr1b","Armc8"
"Actr1b","Ccar2"
"Actr1b","Ccdc92"
"Actr1b","Dctn1"
"Actr1b","Dctn2"
"Actr1b","Dctn3"
"Actr1b","Dctn5"
"Actr1b","Dctn6"
"Actr1b","Dlst"
"Actr1b","Dync1h1"
"Actr1b","Dync1i2"
"Actr1b","Dync1li1"
"Actr1b","Dynlrb1"
"Actr1b","Eif3a"
"Actr1b","Eif3b"
"Actr1b","Eif3c"
"Actr1b","Eif3d"
"Actr1b","Eif3e"
"Actr1b","Eif3g"
"Actr1b","Eif3h"
"Actr1b","Eif3i"
"Actr1b","Eif3k"
"Actr1b","Eif3l"
"Actr1b","FAM120A"
"Actr1b","Flna"
"Actr1b","Hdac2"
"Actr1b","Hnrnpa2b1"
"Actr1b","Hnrnpc"
"Actr1b","Hnrnpul2"
"Actr1b","Map2"
"Actr1b","Prkacb"
"Actr1b","Prkar2a"
"Actr1b","Rbbp4"
"Actr1b","Sptbn2"
"Actr2","Actr3"
"Actr2","Agl"
"Actr2","Aldh1a2"
"Actr2","Aldh1b1"
"Actr2","Anp32a"
"Actr2","Arih1"
"Actr2","Arpc1a"
"Actr2","Arpc2"
"Actr2","Arpc3"
"Actr2","Arpc4"
"Actr2","Arpc5"
"Actr2","Arpc5l"
"Actr2","Btf3"
"Actr2","Cat"
"Actr2","Cfdp1"
"Actr2","Coro1a"
"Actr2","Coro1c"
"Actr2","Coro7"
"Actr2","Cul1"
"Actr2","Dennd5b"
"Actr2","Dis3l2"
"Actr2","Dpysl5"
"Actr2","Dr1"
"Actr2","Drg2"
"Actr2","Efl1"
"Actr2","Entpd5"
"Actr2","Ero1a"
"Actr2","Fam129b"
"Actr2","Gmpr"
"Actr2","Gmpr2"
"Actr2","Gnpda1"
"Actr2","Grpel1"
"Actr2","Gtf2f1"
"Actr2","Hars"
"Actr2","Hmgcs1"
"Actr2","Hypk"
"Actr2","Iars2"
"Actr2","Igh-3"
"Actr2","Ighg1"
"Actr2","Ipcef1"
"Actr2","Ipo9"
"Actr2","Kiaa0513"
"Actr2","Kif1bp"
"Actr2","Mapre2"
"Actr2","Mut"
"Actr2","Naa15"
"Actr2","Naca"
"Actr2","P4hb"
"Actr2","Pdia6"
"Actr2","Pgam2"
"Actr2","Pkm"
"Actr2","Plaa"
"Actr2","Plcg1"
"Actr2","Ppp1ca"
"Actr2","Ppp1cb"
"Actr2","Rad23a"
"Actr2","Rcn1"
"Actr2","Sae1"
"Actr2","Sgta"
"Actr2","Stat5b"
